company;bangdan_name;ranking;subject;price;unit;chengjiaov;saleVolume;odUrl
深圳市胜力实业有限公司;伴手礼榜;154;三八妇女节伴手礼套装定制logo商务实用礼品送企业员工客户福利;79.80;套;0;48;https://detail.1688.com/offer/1022319980736.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
莆田市秀屿区许愿礼品制造厂;商务伴手礼榜;104;马上有钱钥匙扣马年新年小礼品小马小挂件伴手礼马上发财足金999;7.57;个;0;100;https://detail.1688.com/offer/1020251208561.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
白沟新城沛丹箱包厂;未上榜;0;马年伴手礼春节礼品实用送客户公司年货采购礼品手提箱春联42件套;27.00;套;0;1000;https://detail.1688.com/offer/1016844440086.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
深圳市聚礼科技有限公司;未上榜;0;2026马年新年公司年会商务礼品套装定制送客户员工奖品年终伴手礼;29.90;套;0;1000;https://detail.1688.com/offer/986652309062.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
沛县妙可装饰画经营部;未上榜;0;马到成功摆件装饰画马年装饰品创意摆件摆台乔迁新年摆摊小商品;3.20;件;0;1;https://detail.1688.com/offer/1021747509680.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
深圳市鑫誉礼科技有限公司;国潮文创榜;605;马年新年对联伴手礼保温杯礼盒公司年会礼品定制实用送员工客户;14.90;套;0;2000;https://detail.1688.com/offer/996433868007.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
浦江县无双电子商务商行;未上榜;0;新年小灯笼挂饰春节乔迁小红灯笼布置连串丝光喜庆挂件年货批发;2.00;串;0;2000;https://detail.1688.com/offer/996152114141.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
义乌市礼意文化用品有限公司;伴手礼榜;249;年会伴手礼马年元旦新年礼物店庆活动礼品送客户员工福利生日礼物;7.18;套;0;1万;https://detail.1688.com/offer/762856957624.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
莆田市秀屿区上塘甄尚品珠宝店;未上榜;0;马年新款春节含金红包金钞含金礼品马上有钱送客户伴手礼足金;17.80;套;0;0;https://detail.1688.com/offer/1008906703031.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
温州龙匠文化用品有限公司;未上榜;0;丝绸对联礼盒套装定制2026年马年春节烫金大礼包企业礼包logo定做;13.80;副;0;100;https://detail.1688.com/offer/967992062099.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
淮安俭礼商务有限公司;伴手礼榜;170;伴手礼实用小礼品活动礼盒定制开业年会公司企业送员工团购批发;7.40;套;0;3000;https://detail.1688.com/offer/992690983559.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
义乌市诺冠工艺品有限公司;未上榜;0;山海经AI兽盲盒创意搞怪公仔玩具四角猫鱼摆件卡通儿童礼品批发;9.88;个;0;0;https://detail.1688.com/offer/972212640347.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
义乌市诺冠工艺品有限公司;未上榜;0;新年新款神马都有盲盒送朋友新年礼物车春节礼品创意礼品马年盲盒;5.22;个;0;900;https://detail.1688.com/offer/995767717128.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
泾县闽徽工艺品有限公司;未上榜;0;三八妇女节礼物实用38女神节伴手礼员工礼品檀木梳子礼盒套装定制;13.80;个;0;3000;https://detail.1688.com/offer/818814080502.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
台州恒展电子科技发展有限公司;未上榜;0;时钟3D创意纸雕灯节日生日男女朋友情人节告白氛围礼品智能小夜灯;38.00;个;0;51;https://detail.1688.com/offer/828594364930.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
福建省德化泥阳陶瓷有限公司;未上榜;0;马年文创茶杯主人杯福马摆件礼盒年会新年商务礼品送客户伴手礼物;48.00;个;0;800;https://detail.1688.com/offer/995382531243.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
浦江九百度工艺品装饰有限公司;未上榜;0;水晶模型内雕定制商务礼品伴手礼公司logo车模楼模定制定做纪念品;69.00;个;0;0;https://detail.1688.com/offer/967951830719.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
义乌市满满爱文化用品有限公司;未上榜;0;2026新年礼物马年年会伴手礼年会礼品实用员工福利马年礼品送客户;8.80;套;0;200;https://detail.1688.com/offer/1001820461930.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
义乌市拓月贸易有限公司;未上榜;0;新年小礼品儿童头箍学生元旦节日活动礼物马年钥匙扣马年装饰礼物;0.45;个;0;28万;https://detail.1688.com/offer/751970149417.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
合肥懿生婚庆用品有限公司;未上榜;0;2026马年春节福字立体植绒双层烫金福字门贴立体背胶对联春联批货;1.20;张;0;6万;https://detail.1688.com/offer/994301328373.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
深圳市胜力实业有限公司;伴手礼榜;154;三八妇女节伴手礼套装定制logo商务实用礼品送企业员工客户福利;79.80;套;0;48;https://detail.1688.com/offer/1022319980736.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
莆田市秀屿区许愿礼品制造厂;商务伴手礼榜;104;马上有钱钥匙扣马年新年小礼品小马小挂件伴手礼马上发财足金999;7.57;个;0;100;https://detail.1688.com/offer/1020251208561.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
白沟新城沛丹箱包厂;未上榜;0;马年伴手礼春节礼品实用送客户公司年货采购礼品手提箱春联42件套;27.00;套;0;1000;https://detail.1688.com/offer/1016844440086.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
深圳市聚礼科技有限公司;未上榜;0;年会礼品实用保温杯围巾套装商务伴手礼定制印logo送员工福利奖品;16.80;套;0;2000;https://detail.1688.com/offer/992756123107.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
沛县妙可装饰画经营部;未上榜;0;马到成功摆件装饰画马年装饰品创意摆件摆台乔迁新年摆摊小商品;3.20;件;0;1;https://detail.1688.com/offer/1021747509680.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
深圳市鑫誉礼科技有限公司;国潮文创榜;605;马年新年对联伴手礼保温杯礼盒公司年会礼品定制实用送员工客户;14.90;套;0;2000;https://detail.1688.com/offer/996433868007.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
浦江县无双电子商务商行;未上榜;0;新年小灯笼挂饰春节乔迁小红灯笼布置连串丝光喜庆挂件年货批发;2.00;串;0;2000;https://detail.1688.com/offer/996152114141.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
义乌市礼意文化用品有限公司;伴手礼榜;249;年会伴手礼马年元旦新年礼物店庆活动礼品送客户员工福利生日礼物;7.18;套;0;1万;https://detail.1688.com/offer/762856957624.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
莆田市秀屿区上塘甄尚品珠宝店;未上榜;0;马年新款春节含金红包金钞含金礼品马上有钱送客户伴手礼足金;17.80;套;0;0;https://detail.1688.com/offer/1008906703031.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
温州龙匠文化用品有限公司;未上榜;0;丝绸对联礼盒套装定制2026年马年春节烫金大礼包企业礼包logo定做;13.80;副;0;100;https://detail.1688.com/offer/967992062099.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
淮安俭礼商务有限公司;伴手礼榜;170;伴手礼实用小礼品活动礼盒定制开业年会公司企业送员工团购批发;7.40;套;0;3000;https://detail.1688.com/offer/992690983559.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
义乌市诺冠工艺品有限公司;未上榜;0;山海经AI兽盲盒创意搞怪公仔玩具四角猫鱼摆件卡通儿童礼品批发;9.88;个;0;0;https://detail.1688.com/offer/972212640347.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
义乌市诺冠工艺品有限公司;未上榜;0;新年新款神马都有盲盒送朋友新年礼物车春节礼品创意礼品马年盲盒;5.22;个;0;900;https://detail.1688.com/offer/995767717128.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
泾县闽徽工艺品有限公司;未上榜;0;三八妇女节礼物实用38女神节伴手礼员工礼品檀木梳子礼盒套装定制;13.80;个;0;3000;https://detail.1688.com/offer/818814080502.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
台州恒展电子科技发展有限公司;未上榜;0;时钟3D创意纸雕灯节日生日男女朋友情人节告白氛围礼品智能小夜灯;38.00;个;0;51;https://detail.1688.com/offer/828594364930.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
福建省德化泥阳陶瓷有限公司;未上榜;0;马年文创茶杯主人杯福马摆件礼盒年会新年商务礼品送客户伴手礼物;48.00;个;0;800;https://detail.1688.com/offer/995382531243.html?src=zhanwai&ptid=0177000000085393427f0799538482d7
