company;bangdan_name;ranking;subject;price;unit;chengjiaov;saleVolume;odUrl
上海璨曦贸易有限公司;显瘦阔腿裤榜;133;2025冬季新中式国风香云纱提花木耳花边复古高级感羽绒服轻奢套;259.9;条;成交0.2万+元;1;https://detail.1688.com/offer/1004119870153.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
福建凯仕达科技股份有限公司;冲锋衣榜;76;高端新款冬季羽绒服男女抗寒保暖连帽90白鸭绒加厚长款过膝外套;548.0;件;0;16;https://detail.1688.com/offer/1015380074617.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
锋途(武汉)户外用品有限公司;未上榜;0;锋途冬款90白鸭绒立领轻薄羽绒服 男女防寒保暖羽绒内胆外套批发;145.0;件;0;200;https://detail.1688.com/offer/862177168748.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
福州市鼓楼区绒胜服装商行;未上榜;0;彼城95%白鹅绒经典爆款连帽短款极寒保暖蒙家羽绒服鹅绒服男款;890.0;件;0;200;https://detail.1688.com/offer/753219651875.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
莆田市城厢区艺玖大鹅服装商行;未上榜;0;大鹅羽绒服22款加拿大同款女士超长款外套Mystique派克大衣 3035W;480.0;件;0;28;https://detail.1688.com/offer/753241994720.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
石狮市纯田服装商行;未上榜;0;高端加肥大码羽绒服男防风防泼水加厚保暖宽松休闲连帽白鸭绒外套;298.0;件;0;0;https://detail.1688.com/offer/1000850583977.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
莆田市城厢区艺玖大鹅服装商行;未上榜;0;大鹅马甲羽绒服亲子背心加拿大同款男女情侣款外套派克大衣4154M;120.0;件;0;200;https://detail.1688.com/offer/753239846913.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
莆田市城厢区艺玖大鹅服装商行;未上榜;0;新款08款大鹅羽绒服加拿大同款男女士长外套远征款派克大衣2051MA;280.0;件;0;700;https://detail.1688.com/offer/753056052364.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
苏祥（南通）网络科技有限公司;未上榜;0;极寒羽绒服女高级感2025时尚连帽加厚设计感袖标保暖小个子面包服;348.7;件;0;300;https://detail.1688.com/offer/995869198034.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
桐乡市梧桐比目鱼服装网店;未上榜;0;行政羽绒夹克男2025秋冬加厚中老年爸爸冬装可拆卸内胆羽绒服外套;168.0;件;0;400;https://detail.1688.com/offer/857746751472.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
嘉兴奢翀时装有限公司;未上榜;0;平湖羽绒服90白鹅绒2025冬新款紫色连帽泡芙女中长款面包服鹅绒服;439.0;件;0;200;https://detail.1688.com/offer/1006717682299.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
福州市晋安区鹅北尔服装有限公司;运动风冲锋衣榜;92;莆田高版本08款大鹅羽绒服加拿大同款长外套远征款派克大衣2051MA;280.0;件;0;100;https://detail.1688.com/offer/952683855410.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
石狮市布梵衣阁服饰有限公司;未上榜;0;90%白鸭绒可印LOGO假两件羽绒服男款冬季新款宽松翻领休闲外套男;190.0;件;0;200;https://detail.1688.com/offer/987698318781.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
平湖美蓝服饰有限公司;未上榜;0;羽绒服女士2025新款短款轻薄加厚保暖修身韩版白鸭绒时尚外套批发;50.00;件;0;17万;https://detail.1688.com/offer/607150488171.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
苏州卫优科技有限公司;未上榜;0;25年冬季高端商务休闲羽绒服男士轻薄短款保暖翻领爸爸冬装外套;197.0;件;0;100;https://detail.1688.com/offer/972087983223.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
福建省思达来特服饰有限公司;防风冲锋衣榜;99;冬季新款简约百搭男外套轻薄防寒保暖排骨羽绒服男女同款潮牌上衣;142.0;件;0;100;https://detail.1688.com/offer/987359734220.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
平湖市志蕴贸易有限公司;未上榜;0;轻薄羽绒服女短款2024年新款圆领薄款内胆修身内穿打底大码外套潮;49.00;件;0;6万;https://detail.1688.com/offer/656785716681.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
泉州市潮前品牌管理有限公司;运动长裤榜;211;羽绒服男秋冬季新款潮流男士外套轻薄冬装纯色休闲百搭翻领面包服;165.0;件;0;100;https://detail.1688.com/offer/990280606157.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
合肥逢生商贸有限责任公司;未上榜;0;男士冬季保暖鹅绒服男款保暖中老年可拆卸内胆羽绒服男士轻商务;165.5;件;0;1000;https://detail.1688.com/offer/736420353328.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
苏州莱诗优品服饰有限公司;未上榜;0;风衣款羽绒服秋冬新款90白鸭绒中长加厚羽绒服青年男士户外羽绒服;280.0;件;0;100;https://detail.1688.com/offer/832983704638.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
上海璨曦贸易有限公司;显瘦阔腿裤榜;133;2025冬季新中式国风香云纱提花木耳花边复古高级感羽绒服轻奢套;259.9;条;成交0.2万+元;1;https://detail.1688.com/offer/1004119870153.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
福建凯仕达科技股份有限公司;冲锋衣榜;76;高端新款冬季羽绒服男女抗寒保暖连帽90白鸭绒加厚长款过膝外套;548.0;件;0;16;https://detail.1688.com/offer/1015380074617.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
锋途(武汉)户外用品有限公司;未上榜;0;锋途冬款90白鸭绒立领轻薄羽绒服 男女防寒保暖羽绒内胆外套批发;145.0;件;0;200;https://detail.1688.com/offer/862177168748.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
福州市鼓楼区绒胜服装商行;未上榜;0;彼城95%白鹅绒经典爆款连帽短款极寒保暖蒙家羽绒服鹅绒服男款;890.0;件;0;200;https://detail.1688.com/offer/753219651875.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
